iter	Passed	Remaining
0	346	114308
1	675	111143
2	991	108442
3	1319	107878
4	1662	108400
5	1985	107536
6	2290	106008
7	2601	105023
8	2917	104393
9	3282	105361
10	3610	105039
11	3928	104430
12	4260	104222
13	4573	103559
14	4908	103416
15	5226	102905
16	5577	103012
17	5889	102408
18	6195	101740
19	6537	101665
20	6894	101781
21	7212	101307
22	7580	101508
23	7992	102232
24	8314	101765
25	8634	101286
26	8955	100837
27	9275	100377
28	9600	99979
29	9902	99354
30	10218	98892
31	10519	98292
32	10814	97660
33	11120	97143
34	11415	96538
35	11721	96047
36	12035	95629
37	12345	95188
38	12664	94820
39	12981	94442
40	13290	94007
41	13596	93557
42	13911	93177
43	14226	92796
44	14531	92357
45	14856	92043
46	15203	91867
47	15518	91492
48	15816	91023
49	16130	90655
50	16459	90366
51	16780	90032
52	17098	89688
53	17422	89370
54	17741	89031
55	18093	88852
56	18389	88397
57	18700	88022
58	19019	87684
59	19347	87385
60	19658	87013
61	19962	86610
62	20289	86311
63	20643	86123
64	21034	86078
65	21408	85958
66	21746	85687
67	22103	85488
68	22481	85366
69	22846	85184
70	23178	84877
71	23509	84568
72	23877	84389
73	24252	84228
74	24624	84050
75	24969	83778
76	25367	83679
77	25753	83534
78	26144	83396
79	26477	83072
80	26819	82776
81	27186	82554
82	27563	82357
83	27953	82197
84	28316	81949
85	28626	81552
86	28944	81178
87	29351	81050
88	29709	80782
89	30009	80359
90	30314	79949
91	30623	79554
92	30929	79151
93	31250	78792
94	31553	78385
95	31875	78029
96	32200	77679
97	32516	77308
98	32810	76888
99	33107	76478
100	33413	76090
101	33725	75718
102	34033	75337
103	34344	74962
104	34674	74633
105	34999	74290
106	35301	73901
107	35604	73517
108	35903	73123
109	36213	72756
110	36542	72426
111	36863	72081
112	37191	71750
113	37510	71402
114	37881	71150
115	38216	70832
116	38543	70498
117	38886	70193
118	39200	69835
119	39496	69448
120	39803	69079
121	40113	68719
122	40407	68331
123	40710	67959
124	41023	67606
125	41327	67239
126	41628	66867
127	41925	66491
128	42260	66175
129	42582	65838
130	42875	65459
131	43198	65124
132	43527	64799
133	43864	64487
134	44161	64115
135	44469	63761
136	44770	63397
137	45071	63034
138	45365	62663
139	45663	62297
140	45965	61939
141	46298	61623
142	46361	60950
143	46752	60713
144	47079	60392
145	47382	60038
146	47702	59708
147	48012	59366
148	48319	59021
149	48647	58700
150	48946	58346
151	49259	58010
152	49584	57686
153	49921	57377
154	50229	57034
155	50532	56686
156	50828	56332
157	51143	55998
158	51437	55643
159	51732	55288
160	52044	54953
161	52385	54649
162	52726	54343
163	53044	54014
164	53365	53688
165	53696	53373
166	54036	53066
167	54365	52747
168	54674	52410
169	54986	52075
170	55286	51729
171	55594	51392
172	55922	51074
173	56235	50740
174	56552	50412
175	56851	50068
176	57173	49743
177	57477	49405
178	57778	49062
179	58113	48750
180	58456	48444
181	58752	48099
182	59066	47769
183	59405	47459
184	59709	47122
185	60008	46781
186	60335	46461
187	60646	46130
188	60991	45824
189	61330	45513
190	61662	45197
191	62007	44890
192	62328	44566
193	62635	44232
194	62973	43920
195	63351	43634
196	63671	43309
197	63965	42966
198	64275	42634
199	64607	42318
200	64997	42038
201	65337	41725
202	65660	41401
203	65995	41085
204	66307	40754
205	66609	40418
206	66922	40088
207	67243	39764
208	67562	39438
209	67884	39114
210	68208	38791
211	68537	38471
212	68841	38137
213	69155	37809
214	69501	37498
215	69855	37191
216	70205	36881
217	70530	36559
218	70888	36253
219	71203	35925
220	71501	35589
221	71805	35255
222	72143	34939
223	72521	34641
224	72849	34320
225	73171	33995
226	73471	33661
227	73824	33350
228	74187	33044
229	74493	32712
230	74806	32383
231	75146	32066
232	75474	31744
233	75837	31436
234	76179	31120
235	76530	30806
236	76853	30481
237	77172	30155
238	77492	29829
239	77829	29510
240	78156	29187
241	78500	28869
242	78852	28555
243	79246	28256
244	79592	27938
245	79915	27613
246	80232	27285
247	80534	26953
248	80860	26628
249	81149	26292
250	81473	25967
251	81824	25651
252	82195	25340
253	82591	25037
254	82994	24735
255	83391	24431
256	83782	24124
257	84199	23823
258	84632	23527
259	85031	23220
260	85388	22901
261	85726	22576
262	86098	22261
263	86491	21950
264	86844	21629
265	87207	21310
266	87549	20985
267	87903	20663
268	88252	20340
269	88589	20014
270	88910	19684
271	89205	19349
272	89509	19016
273	89818	18684
274	90128	18353
275	90429	18020
276	90746	17690
277	91051	17358
278	91357	17027
279	91665	16696
280	92014	16372
281	92349	16046
282	92644	15713
283	92954	15383
284	93323	15062
285	93721	14746
286	94057	14420
287	94379	14091
288	94723	13766
289	95035	13436
290	95341	13105
291	95652	12775
292	95972	12446
293	96301	12119
294	96603	11788
295	96900	11457
296	97219	11129
297	97549	10802
298	97856	10472
299	98181	10145
300	98501	9817
301	98829	9490
302	99132	9160
303	99456	8833
304	99776	8505
305	100075	8176
306	100366	7846
307	100681	7518
308	101000	7191
309	101323	6863
310	101625	6535
311	101943	6208
312	102279	5881
313	102600	5554
314	102893	5226
315	103209	4899
316	103547	4573
317	103869	4246
318	104168	3918
319	104470	3591
320	104782	3264
321	105081	2937
322	105386	2610
323	105710	2283
324	106055	1957
325	106387	1631
326	106730	1305
327	107075	979
328	107413	652
329	107728	326
330	108043	0
